,Smiles,pKa,basicOrAcidic
0,O=C1NCCCc2c1oc1ccc(O)cc21,9.53,acidic
1,O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1,7.02,acidic
2,O=C(Nc1cccc2cccnc12)c1cncc(Br)c1,11.74,acidic
3,Cc1ccc2[nH]c(=O)c(CC(=O)O)c(-c3ccccc3)c2c1,4.22,acidic
4,O=C(CNC(=O)c1ccccc1)Nc1nc2ccccc2s1,9.02,acidic
5,Oc1ccc(-n2cnc3ccccc32)cc1,8.94,acidic
6,O=C(Nc1ccncc1)c1c(Cl)cccc1Cl,10.65,acidic
7,O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,9.58,acidic
8,CCOc1ccc2nc(NC(=O)Cc3ccc(Cl)c(Cl)c3)sc2c1,9.56,acidic
9,O=C1NC(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)S1,5.7,acidic
11,O=C(CCc1nc2ccccc2c(=O)[nH]1)[N-]c1ncc(Cc2ccc(F)c(F)c2)s1,11.02,acidic
